Riesgo,Vulnerabilidad,Tipo,Tecnología,Descripción,Solución,Archivos afectados,Línea afectada,CWE
HIGH,auth,,,"'password' detected in this expression, review this potentially hard-coded credential.","Recommended Secure Coding Practices   Store the credentials in a configuration file that is not pushed to the code repository.    Store the credentials in a database.    Use the secret management service of you cloud provider.    If the a password has been disclosed through the source code: change it. Compliant SolutionConnection conn = null;try {  String uname = getEncryptedUser();  String password = getEncryptedPass();  conn = DriverManager.getConnection(""jdbc:mysql://localhost/test?"" +        ""user="" + uname + ""&amp;password="" + password);See   OWASP Top 10 2017 Category A2 - Broken Authentication    MITRE, CWE-798 - Use of Hard-coded Credentials    MITRE, CWE-259 - Use of Hard-coded Password    CERT, MSC03-J. - Never hard code sensitive information    SANS Top 25 - Porous Defenses    Derived from FindSecBugs rule Hard Coded Password ",CIBERSEG:src/main/java/net/gencat/icass/valisa/struts/action/TipusDocumentAction.java,236,"CWE-798, CWE-259"
HIGH,auth,,,"'password' detected in this expression, review this potentially hard-coded credential.","Recommended Secure Coding Practices   Store the credentials in a configuration file that is not pushed to the code repository.    Store the credentials in a database.    Use the secret management service of you cloud provider.    If the a password has been disclosed through the source code: change it. Compliant SolutionConnection conn = null;try {  String uname = getEncryptedUser();  String password = getEncryptedPass();  conn = DriverManager.getConnection(""jdbc:mysql://localhost/test?"" +        ""user="" + uname + ""&amp;password="" + password);See   OWASP Top 10 2017 Category A2 - Broken Authentication    MITRE, CWE-798 - Use of Hard-coded Credentials    MITRE, CWE-259 - Use of Hard-coded Password    CERT, MSC03-J. - Never hard code sensitive information    SANS Top 25 - Porous Defenses    Derived from FindSecBugs rule Hard Coded Password ",CIBERSEG:src/main/java/net/gencat/icass/valisa/struts/action/TipusDocumentAction.java,240,"CWE-798, CWE-259"
HIGH,auth,,,"'password' detected in this expression, review this potentially hard-coded credential.","Recommended Secure Coding Practices   Store the credentials in a configuration file that is not pushed to the code repository.    Store the credentials in a database.    Use the secret management service of you cloud provider.    If the a password has been disclosed through the source code: change it. Compliant SolutionConnection conn = null;try {  String uname = getEncryptedUser();  String password = getEncryptedPass();  conn = DriverManager.getConnection(""jdbc:mysql://localhost/test?"" +        ""user="" + uname + ""&amp;password="" + password);See   OWASP Top 10 2017 Category A2 - Broken Authentication    MITRE, CWE-798 - Use of Hard-coded Credentials    MITRE, CWE-259 - Use of Hard-coded Password    CERT, MSC03-J. - Never hard code sensitive information    SANS Top 25 - Porous Defenses    Derived from FindSecBugs rule Hard Coded Password ",CIBERSEG:src/main/java/net/gencat/icass/valisa/struts/action/TipusDocumentAction.java,244,"CWE-798, CWE-259"
HIGH,auth,,,"'password' detected in this expression, review this potentially hard-coded credential.","Recommended Secure Coding Practices   Store the credentials in a configuration file that is not pushed to the code repository.    Store the credentials in a database.    Use the secret management service of you cloud provider.    If the a password has been disclosed through the source code: change it. Compliant SolutionConnection conn = null;try {  String uname = getEncryptedUser();  String password = getEncryptedPass();  conn = DriverManager.getConnection(""jdbc:mysql://localhost/test?"" +        ""user="" + uname + ""&amp;password="" + password);See   OWASP Top 10 2017 Category A2 - Broken Authentication    MITRE, CWE-798 - Use of Hard-coded Credentials    MITRE, CWE-259 - Use of Hard-coded Password    CERT, MSC03-J. - Never hard code sensitive information    SANS Top 25 - Porous Defenses    Derived from FindSecBugs rule Hard Coded Password ",CIBERSEG:src/main/java/net/gencat/icass/valisa/struts/action/ValisaAction.java,1961,"CWE-798, CWE-259"
HIGH,auth,,,"'password' detected in this expression, review this potentially hard-coded credential.","Recommended Secure Coding Practices   Store the credentials in a configuration file that is not pushed to the code repository.    Store the credentials in a database.    Use the secret management service of you cloud provider.    If the a password has been disclosed through the source code: change it. Compliant SolutionConnection conn = null;try {  String uname = getEncryptedUser();  String password = getEncryptedPass();  conn = DriverManager.getConnection(""jdbc:mysql://localhost/test?"" +        ""user="" + uname + ""&amp;password="" + password);See   OWASP Top 10 2017 Category A2 - Broken Authentication    MITRE, CWE-798 - Use of Hard-coded Credentials    MITRE, CWE-259 - Use of Hard-coded Password    CERT, MSC03-J. - Never hard code sensitive information    SANS Top 25 - Porous Defenses    Derived from FindSecBugs rule Hard Coded Password ",CIBERSEG:src/main/java/net/gencat/icass/valisa/struts/action/ValisaAction.java,1965,"CWE-798, CWE-259"
HIGH,auth,,,"'password' detected in this expression, review this potentially hard-coded credential.","Recommended Secure Coding Practices   Store the credentials in a configuration file that is not pushed to the code repository.    Store the credentials in a database.    Use the secret management service of you cloud provider.    If the a password has been disclosed through the source code: change it. Compliant SolutionConnection conn = null;try {  String uname = getEncryptedUser();  String password = getEncryptedPass();  conn = DriverManager.getConnection(""jdbc:mysql://localhost/test?"" +        ""user="" + uname + ""&amp;password="" + password);See   OWASP Top 10 2017 Category A2 - Broken Authentication    MITRE, CWE-798 - Use of Hard-coded Credentials    MITRE, CWE-259 - Use of Hard-coded Password    CERT, MSC03-J. - Never hard code sensitive information    SANS Top 25 - Porous Defenses    Derived from FindSecBugs rule Hard Coded Password ",CIBERSEG:src/main/java/net/gencat/icass/valisa/struts/action/ValisaAction.java,1969,"CWE-798, CWE-259"
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/ajax/ajaxtags/ajaxtags-1.1.js,445,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/ajax/ajaxtags/canigo-ajaxtags-pagedSelect.js,729,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/ajax/behaviour/Behaviour.js,186,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/ajax/behaviour/canigo-behaviour.js,205,CWE-624
